Chipset Name : GRANTLY PLATFORM Ver.05.04.21.0026,,,
Category,Name,GUID,Description
Chipset Layer,\grantleychipsetpkg\spsme\spsmefwupgradesmm\SpsMeFwUpgradeSmm,B103081B-02C6-4909-8B4D-A7B9280BB587,Component description file for Server Platform Services(SPS) ME Firmware Upgrade SMM driver.
Chipset Layer,\grantleychipsetpkg\spsme\sample\spscollectordxe\SpsCpuInfoCollectorDxe,D0E82303-C09A-4B9B-A9A6-EB0634EA2DE9,Component description file for SpsCpuInfoCollectorDxe driver.
Chipset Layer,\grantleychipsetpkg\variableeditdxe\VariableEditDxe,3F837872-2A07-4470-B8B7-9AC131360314,Component description file for Variable Editor Dxe driver.
Chipset Layer,\grantleychipsetpkg\variableeditsmm\VariableEditSmm,84945A3D-49C8-4059-8F34-6A4532D32A47,Component description file for Variable Editor Callback Sync Smm.
Chipset Layer,\grantleychipsetpkg\csm16hooksmm\Csm16HookSmm,D1F9F6EE-5CBF-4F19-948C-EA5EAA859985,Component description file for CSM16 INT19 hook function.
Chipset Layer,\grantleychipsetpkg\fileselectuidxe\FileSelectUIDxe,5A4B57EC-7C99-45FD-A5B5-D0EAD877BB7F,Component description file for FileSelectUIDxe driver.
Chipset Layer,\grantleychipsetpkg\ramdisk\ramdisk,96735D5D-4595-4183-B1D7-934CC402AA95,Component description file for IntelGopDriver.
Chipset Layer,\grantleychipsetpkg\smbiosdynamicupdatedxe\SmbiosDynamicUpdateDxe,9096E786-12D9-449C-BA71-185FFFAA117B,Component description file for SmbiosDynamicUpdateDxe driver.
Chipset Layer,\grantleychipsetpkg\pchahcipei\PchAhciPei,CE248B77-1179-4BC6-B324-9D2EDC4B976E,Component description file for PchAhciPei PEI module.
Chipset Layer,\grantleychipsetpkg\pchufspei\PchUfsPei,28D68488-5A7C-49ad-8A21-552E26EFF2FF,Component description file for PchUfs PEIM.
Chipset Layer,\grantleychipsetpkg\pchxhcipei\PchXhciPei,2ABCD64E-3CA2-4F4D-B903-21A1E3F61471,Component description file for PchXhci PEIM.
Chipset Layer,\grantleychipsetpkg\softstrapspeim\SoftStrapsPeim,1988A1D8-04FC-4D68-B58D-636F36F30D82,Component description file for SoftStrapsPeim PEIM.
Chipset Layer,\grantleychipsetpkg\platforminfopei\PlatformInfo,34CC6167-7AE7-403E-8AB2-23837F398A30,PlatformInfo PEIM.
Chipset Layer,\grantleychipsetpkg\setupsyncpei\SetupSyncPei,995EAD4A-B9F6-444B-AAA2-50A19467A858,This PEIM is to sync some of Setup value to CMOS to check full reset condition.
